Number,System_type,Point group,Short_name,Full_name,Schoenflies,Fedorov,Shubnikov,Fibrifold
1,triclinic,1,P1,P 1,$C_1^1$,1s,$(a/b/c)\cdot 1$,-
2,triclinic,1,P1,P 1,$C_i^1$,2s,$(a/b/c)\cdot \tilde 2 $,-
3,monoclinic,2,P2,P 1 2 1,$C_2^1$,3s,$(b:(c/a)):2$,-
4,monoclinic,2,P21,P 1 21 1,$C_2^2$,1a,$(b:(c/a)):2_1$,-
5,monoclinic,2,C2,C 1 2 1,$C_2^3$,4s,$\left ( \frac{a+b}{2}/b:(c/a)\right ) :2$,-
6,monoclinic,m,Pm,P 1 m 1,$C_s^1$,5s,$(b:(c/a))\cdot m$,-
7,monoclinic,m,Pc,P 1 c 1,$C_s^2$,1h,$(b:(c/a))\cdot \tilde c$,-
8,monoclinic,m,Cm,C 1 m 1,$C_s^3$,6s,$\left ( \frac{a+b}{2}/b:(c/a)\right ) \cdot m$,-
9,monoclinic,m,Cc,C 1 c 1,$C_s^4$,2h,$\left ( \frac{a+b}{2}/b:(c/a)\right ) \cdot \tilde c$,-
10,monoclinic,2/m,P2/m,P 1 2/m 1,$C_{2h}^1$,7s,$(b:(c/a))\cdot m:2$,-
11,monoclinic,2/m,P21/m,P 1 21/m 1,$C_{2h}^2$,2a,$(b:(c/a))\cdot m:2_1$,-
12,monoclinic,2/m,C2/m,C 1 2/m 1,$C_{2h}^3$,8s,$\left ( \frac{a+b}{2}/b:(c/a)\right ) \cdot m:2$,-
13,monoclinic,2/m,P2/c,P 1 2/c 1,$C_{2h}^4$,3h,$(b:(c/a))\cdot \tilde c:2$,-
14,monoclinic,2/m,P21/c,P 1 21/c 1,$C_{2h}^5$,3a,$(b:(c/a))\cdot \tilde c:2_1$,-
15,monoclinic,2/m,C2/c,C 1 2/c 1,$C_{2h}^6$,4h,$\left ( \frac{a+b}{2}/b:(c/a)\right ) \cdot \tilde c:2$,-
16,orthorhombic,222,P222,P 2 2 2,$D_2^1$,9s,$(c:a:b):2:2$,-
17,orthorhombic,222,P2221,P 2 2 21,$D_2^2$,4a,$(c:a:b):2_1:2$,-
18,orthorhombic,222,P21212,P 21 21 2,$D_2^3$,7a,$(c:a:b):2 Circled colon.png 2_1$,-
19,orthorhombic,222,P212121,P 21 21 21,$D_2^4$,8a,$(c:a:b):2_1 Circled colon.png 2_1$,-
20,orthorhombic,222,C2221,C 2 2 21,$D_2^5$,5a,$\left ( \frac{a+b}{2}:c:a:b\right ) :2_1:2$,-
21,orthorhombic,222,C222,C 2 2 2,$D_2^6$,10s,$\left ( \frac{a+b}{2}:c:a:b\right ) :2:2$,-
22,orthorhombic,222,F222,F 2 2 2,$D_2^7$,12s,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:c:a:b\right ) :2:2$,-
23,orthorhombic,222,I222,I 2 2 2,$D_2^8$,11s,$\left ( \frac{a+b+c}{2}/c:a:b\right ) :2:2$,-
24,orthorhombic,222,I212121,I 21 21 21,$D_2^9$,6a,$\left ( \frac{a+b+c}{2}/c:a:b \right ) :2:2_1$,-
25,orthorhombic,mm2,Pmm2,P m m 2,$C_{2v}^1$,13s,$(c:a:b):m \cdot 2$,-
26,orthorhombic,mm2,Pmc21,P m c 21,$C_{2v}^2$,9a,$(c:a:b): \tilde c \cdot 2_1$,-
27,orthorhombic,mm2,Pcc2,P c c 2,$C_{2v}^3$,5h,$(c:a:b): \tilde c \cdot 2$,-
28,orthorhombic,mm2,Pma2,P m a 2,$C_{2v}^4$,6h,$(c:a:b): \tilde a \cdot 2$,-
29,orthorhombic,mm2,Pca21,P c a 21,$C_{2v}^5$,11a,$(c:a:b): \tilde a \cdot 2_1$,-
30,orthorhombic,mm2,Pnc2,P n c 2,$C_{2v}^6$,7h,$(c:a:b): \tilde c \odot 2$,-
31,orthorhombic,mm2,Pmn21,P m n 21,$C_{2v}^7$,10a,$(c:a:b): \widetilde{ac} \cdot 2_1$,-
32,orthorhombic,mm2,Pba2,P b a 2,$C_{2v}^8$,9h,$(c:a:b): \tilde a \odot 2$,-
33,orthorhombic,mm2,Pna21,P n a 21,$C_{2v}^9$,12a,$(c:a:b): \tilde a \odot 2_1$,-
34,orthorhombic,mm2,Pnn2,P n n 2,$C_{2v}^{10}$,8h,$(c:a:b): \widetilde{ac} \odot 2$,-
35,orthorhombic,mm2,Cmm2,C m m 2,$C_{2v}^{11}$,14s,$\left ( \frac{a+b}{2}:c:a:b\right ) :m \cdot 2$,-
36,orthorhombic,mm2,Cmc21,C m c 21,$C_{2v}^{12}$,13a,$\left ( \frac{a+b}{2}:c:a:b\right ) :\tilde c \cdot 2_1$,-
37,orthorhombic,mm2,Ccc2,C c c 2,$C_{2v}^{13}$,10h,$\left ( \frac{a+b}{2}:c:a:b\right ) : \tilde c \cdot 2$,-
38,orthorhombic,mm2,Amm2,A m m 2,$C_{2v}^{14}$,15s,$\left ( \frac{b+c}{2}/c:a:b\right ):m \cdot 2$,-
39,orthorhombic,mm2,Aem2,A b m 2,$C_{2v}^{15}$,11h,$\left ( \frac{b+c}{2}/c:a:b\right ) :m \cdot 2_1$,-
40,orthorhombic,mm2,Ama2,A m a 2,$C_{2v}^{16}$,12h,$\left ( \frac{b+c}{2}/c:a:b\right ) : \tilde a \cdot 2$,-
41,orthorhombic,mm2,Aea2,A b a 2,$C_{2v}^{17}$,13h,$\left ( \frac{b+c}{2}/c:a:b\right ) : \tilde a \cdot 2_1$,-
42,orthorhombic,mm2,Fmm2,F m m 2,$C_{2v}^{18}$,17s,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:c:a:b\right ) :m \cdot 2$,-
43,orthorhombic,mm2,Fdd2,F dd2,$C_{2v}^{19}$,16h,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:c:a:b \right ) : \frac{1}{2} \widetilde{ac} \odot 2$,-
44,orthorhombic,mm2,Imm2,I m m 2,$C_{2v}^{20}$,16s,$\left ( \frac{a+b+c}{2}/c:a:b \right ) :m \cdot 2$,-
45,orthorhombic,mm2,Iba2,I b a 2,$C_{2v}^{21}$,15h,$\left ( \frac{a+b+c}{2}/c:a:b \right ) : \tilde c \cdot 2$,-
46,orthorhombic,mm2,Ima2,I m a 2,$C_{2v}^{22}$,14h,$\left ( \frac{a+b+c}{2}/c:a:b \right ) : \tilde a \cdot 2$,-
47,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pmmm,P 2/m 2/m 2/m,$D_{2h}^1$,18s,$\left ( c:a:b \right ) \cdot m:2 \cdot m$,-
48,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pnnn,P 2/n 2/n 2/n,$D_{2h}^2$,19h,$\left ( c:a:b \right ) \cdot \widetilde{ab}:2 \odot \widetilde{ac}$,-
49,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pccm,P 2/c 2/c 2/m,$D_{2h}^3$,17h,$\left ( c:a:b \right ) \cdot m:2 \cdot \tilde c$,-
50,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pban,P 2/b 2/a 2/n,$D_{2h}^4$,18h,$\left ( c:a:b \right ) \cdot \widetilde{ab}:2 \odot \tilde a$,-
51,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pmma,P 21/m 2/m 2/a,$D_{2h}^5$,14a,$\left ( c:a:b \right ) \cdot \tilde a :2 \cdot m$,-
52,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pnna,P 2/n 21/n 2/a,$D_{2h}^6$,17a,$\left ( c:a:b \right ) \cdot \tilde a:2 \odot \widetilde{ac}$,-
53,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pmna,P 2/m 2/n 21/a,$D_{2h}^7$,15a,$\left ( c:a:b \right ) \cdot \tilde a:2_1 \cdot \widetilde{ac}$,-
54,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pcca,P 21/c 2/c 2/a,$D_{2h}^8$,16a,$\left ( c:a:b \right ) \cdot \tilde a:2 \cdot \tilde c$,-
55,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pbam,P 21/b 21/a 2/m,$D_{2h}^9$,22a,$\left ( c:a:b \right ) \cdot m:2 \odot \tilde a$,-
56,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pccn,P 21/c 21/c 2/n,$D_{2h}^{10}$,27a,$\left ( c:a:b \right ) \cdot \widetilde{ab}:2 \cdot \tilde c$,-
57,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pbcm,P 2/b 21/c 21/m,$D_{2h}^{11}$,23a,$\left ( c:a:b \right ) \cdot m:2_1 \odot \tilde c$,-
58,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pnnm,P 21/n 21/n 2/m,$D_{2h}^{12}$,25a,$\left ( c:a:b \right ) \cdot m:2 \odot \widetilde{ac}$,-
59,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pmmn,P 21/m 21/m 2/n,$D_{2h}^{13}$,24a,$\left ( c:a:b \right ) \cdot \widetilde{ab}:2 \cdot m$,-
60,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pbcn,P 21/b 2/c 21/n,$D_{2h}^{14}$,26a,$\left ( c:a:b \right ) \cdot \widetilde{ab}:2_1 \odot \tilde c$,-
61,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pbca,P 21/b 21/c 21/a,$D_{2h}^{15}$,29a,$\left ( c:a:b \right ) \cdot \tilde a:2_1 \odot \tilde c$,-
62,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Pnma,P 21/n 21/m 21/a,$D_{2h}^{16}$,28a,$\left ( c:a:b \right ) \cdot \tilde a:2_1 \odot m$,-
63,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Cmcm,C 2/m 2/c 21/m,$D_{2h}^{17}$,18a,$\left ( \frac{a+b}{2}:c:a:b\right ) \cdot m:2_1 \cdot \tilde c$,-
64,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Cmca,C 2/m 2/c 21/a,$D_{2h}^{18}$,19a,$\left ( \frac{a+b}{2}:c:a:b\right ) \cdot \tilde a :2_1 \cdot \tilde c$,-
65,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Cmmm,C 2/m 2/m 2/m,$D_{2h}^{19}$,19s,$\left ( \frac{a+b}{2}:c:a:b\right ) \cdot m:2 \cdot m$,-
66,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Cccm,C 2/c 2/c 2/m,$D_{2h}^{20}$,20h,$\left ( \frac{a+b}{2}:c:a:b\right ) \cdot m:2 \cdot \tilde c$,-
67,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Cmme,C 2/m 2/m 2/e,$D_{2h}^{21}$,21h,$\left ( \frac{a+b}{2}:c:a:b\right ) \cdot \tilde a :2 \cdot m$,-
68,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Ccce,C 2/c 2/c 2/e,$D_{2h}^{22}$,22h,$\left ( \frac{a+b}{2}:c:a:b\right ) \cdot \tilde a :2 \cdot \tilde c$,-
69,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Fmmm,F 2/m 2/m 2/m,$D_{2h}^{23}$,21s,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:c:a:b\right ) \cdot m:2 \cdot m$,-
70,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Fddd,F 2/d 2/d 2/d,$D_{2h}^{24}$,24h,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:c:a:b\right ) \cdot \frac{1}{2}\widetilde{ab}:2 \odot \frac{1}{2}\widetilde{ac}$,-
71,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Immm,I 2/m 2/m 2/m,$D_{2h}^{25}$,20s,$\left ( \frac{a+b+c}{2}/c:a:b\right ) \cdot m:2 \cdot m$,-
72,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Ibam,I 2/b 2/a 2/m,$D_{2h}^{26}$,23h,$\left ( \frac{a+b+c}{2}/c:a:b\right ) \cdot m:2 \cdot \tilde c$,-
73,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Ibca,I 2/b 2/c 2/a,$D_{2h}^{27}$,21a,$\left ( \frac{a+b+c}{2}/c:a:b\right ) \cdot \tilde a :2 \cdot \tilde c$,-
74,orthorhombic,$\frac{2}{m}\frac{2}{m}\frac{2}{m}$,Imma,I 2/m 2/m 2/a,$D_{2h}^{28}$,20a,$\left ( \frac{a+b+c}{2}/c:a:b\right ) \cdot \tilde a :2 \cdot m$,-
75,tetragonal,4,P4,P 4,$C_4^1$,22s,$(c:a:a):4$,-
76,tetragonal,4,P41,P 41,$C_4^2$,30a,$(c:a:a) :4_1$,-
77,tetragonal,4,P42,P 42,$C_4^3$,33a,$(c:a:a) :4_2$,-
78,tetragonal,4,P43,P 43,$C_4^4$,31a,$(c:a:a) :4_3$,-
79,tetragonal,4,I4,I 4,$C_4^5$,23s,$\left ( \frac{a+b+c}{2}/c:a:a\right ) :4$,-
80,tetragonal,4,I41,I 41,$C_4^6$,32a,$\left ( \frac{a+b+c}{2}/c:a:a\right ) :4_1$,-
81,tetragonal,4,P4,P 4,$S_4^1$,26s,$(c:a:a):\tilde 4$,-
82,tetragonal,4,I4,I 4,$S_4^2$,27s,$\left ( \frac{a+b+c}{2}/c:a:a\right ) :\tilde 4$,-
83,tetragonal,4/m,P4/m,P 4/m,$C_{4h}^1$,28s,$(c:a:a)\cdot m:4$,-
84,tetragonal,4/m,P42/m,P 42/m,$C_{4h}^2$,41a,$(c:a:a)\cdot m:4_2$,-
85,tetragonal,4/m,P4/n,P 4/n,$C_{4h}^3$,29h,$(c:a:a)\cdot \widetilde{ab}:4$,-
86,tetragonal,4/m,P42/n,P 42/n,$C_{4h}^4$,42a,$(c:a:a)\cdot \widetilde{ab}:4_2$,-
87,tetragonal,4/m,I4/m,I 4/m,$C_{4h}^5$,29s,$\left ( \frac{a+b+c}{2}/c:a:a\right ) \cdot m:4$,-
88,tetragonal,4/m,I41/a,I 41/a,$C_{4h}^6$,40a,$\left ( \frac{a+b+c}{2}/c:a:a\right ) \cdot \tilde a :4_1$,-
89,tetragonal,422,P422,P 4 2 2,$D_4^1$,30s,$(c:a:a):4:2$,-
90,tetragonal,422,P4212,P4212,$D_4^2$,43a,$(c:a:a):4 Circled colon.png 2_1$,-
91,tetragonal,422,P4122,P 41 2 2,$D_4^3$,44a,$(c:a:a):4_1:2$,-
92,tetragonal,422,P41212,P 41 21 2,$D_4^4$,48a,$(c:a:a):4_1 Circled colon.png 2_1$,-
93,tetragonal,422,P4222,P 42 2 2,$D_4^5$,47a,$(c:a:a):4_2:2$,-
94,tetragonal,422,P42212,P 42 21 2,$D_4^6$,50a,$(c:a:a):4_2 Circled colon.png 2_1$,-
95,tetragonal,422,P4322,P 43 2 2,$D_4^7$,45a,$(c:a:a):4_3:2$,-
96,tetragonal,422,P43212,P 43 21 2,$D_4^8$,49a,$(c:a:a):4_3 Circled colon.png 2_1$,-
97,tetragonal,422,I422,I 4 2 2,$D_4^9$,31s,$\left ( \frac{a+b+c}{2}/c:a:a\right ) :4:2$,-
98,tetragonal,422,I4122,I 41 2 2,$D_4^{10}$,46a,$\left ( \frac{a+b+c}{2}/c:a:a\right ) :4:2_1$,-
99,tetragonal,4mm,P4mm,P 4 m m,$C_{4v}^1$,24s,$(c:a:a):4\cdot m$,-
100,tetragonal,4mm,P4bm,P 4 b m,$C_{4v}^2$,26h,$(c:a:a):4\odot \tilde a$,-
101,tetragonal,4mm,P42cm,P 42 c m,$C_{4v}^3$,37a,$(c:a:a):4_2\cdot \tilde c$,-
102,tetragonal,4mm,P42nm,P 42 n m,$C_{4v}^4$,38a,$(c:a:a):4_2\odot \widetilde{ac}$,-
103,tetragonal,4mm,P4cc,P 4 c c,$C_{4v}^5$,25h,$(c:a:a):4\cdot \tilde c$,-
104,tetragonal,4mm,P4nc,P 4 n c,$C_{4v}^6$,27h,$(c:a:a):4\odot \widetilde{ac}$,-
105,tetragonal,4mm,P42mc,P 42 m c,$C_{4v}^7$,36a,$(c:a:a):4_2\cdot m$,-
106,tetragonal,4mm,P42bc,P 42 b c,$C_{4v}^8$,39a,$(c:a:a):4\odot \tilde a$,-
107,tetragonal,4mm,I4mm,I 4 m m,$C_{4v}^9$,25s,$\left ( \frac{a+b+c}{2}/c:a:a\right ) :4\cdot m$,-
108,tetragonal,4mm,I4cm,I 4 c m,$C_{4v}^{10}$,28h,$\left ( \frac{a+b+c}{2}/c:a:a\right ) :4\cdot \tilde c$,-
